(copy of rankings_GRB_all_Std_cautious_Papa_rev_algo_1May2026-8h37.csv),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benders methods are compared based on their rankings with respect to several measures of performance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of networks:,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of methods:,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methods (see legend below): ,,GRB_T-0.0001_ILP_flow,GRB_T-0.0001_ILP_flow_strong,GRB_T-0.0001_Std,GRB_F_T-0.0001_Std,GRB_T-0.0001_Std_Decomp,GRB_F_T-0.0001_Std_Decomp,GRB_T-0.0001_Fisch,GRB_F_T-0.0001_Fisch,GRB_U_T-0.0001_Fisch,GRB_F_U_T-0.0001_Fisch,GRB_T-0.0001_StatBS,GRB_F_T-0.0001_StatBS,GRB_U_T-0.0001_StatBS,GRB_F_U_T-0.0001_StatBS,GRB_G-0.1_M-1_T-0.0001_AdaptBS,GRB_F_G-0.1_M-1_T-0.0001_AdaptBS,GRB_G-0.5_M-1_T-0.0001_AdaptBS,GRB_F_G-0.5_M-1_T-0.0001_AdaptBS,GRB_M-1_T-0.0001_AdaptBS,GRB_F_M-1_T-0.0001_AdaptBS,GRB_E-2_T-0.0001_Seo,GRB_F_E-2_T-0.0001_Seo,GRB_E-4_T-0.0001_Seo,GRB_F_E-4_T-0.0001_Seo,GRB_R-0_T-0.0001_HT,GRB_F_R-0_T-0.0001_HT,GRB_R-1_T-0.0001_HT,GRB_F_R-1_T-0.0001_HT,GRB_R-2_T-0.0001_HT,GRB_F_R-2_T-0.0001_HT,GRB_P-1.0_L-0.5_A_T-0.0001_MW,GRB_F_P-1.0_L-0.5_A_T-0.0001_MW,GRB_P-1.0_L-0.5_T-0.0001_Papa,GRB_F_P-1.0_L-0.5_T-0.0001_Papa,GRB_H-0.1_G-0.1_M-1_T-0.0001_Glomb,GRB_F_H-0.1_G-0.1_M-1_T-0.0001_Glomb,GRB_H-0.1_G-0.25_M-1_T-0.0001_Glomb,GRB_F_H-0.1_G-0.25_M-1_T-0.0001_Glomb,GRB_H-0.1_G-0.75_M-1_T-0.0001_Glomb,GRB_F_H-0.1_G-0.75_M-1_T-0.0001_Glomb,GRB_H-0.5_G-0.1_M-1_T-0.0001_Glomb,GRB_F_H-0.5_G-0.1_M-1_T-0.0001_Glomb,GRB_H-0.5_G-0.25_M-1_T-0.0001_Glomb,GRB_F_H-0.5_G-0.25_M-1_T-0.0001_Glomb,GRB_H-0.5_G-0.75_M-1_T-0.0001_Glomb,GRB_F_H-0.5_G-0.75_M-1_T-0.0001_Glomb,GRB_H-0.9_G-0.1_M-1_T-0.0001_Glomb,GRB_F_H-0.9_G-0.1_M-1_T-0.0001_Glomb,GRB_H-0.9_G-0.25_M-1_T-0.0001_Glomb,GRB_F_H-0.9_G-0.25_M-1_T-0.0001_Glomb,GRB_H-0.9_G-0.75_M-1_T-0.0001_Glomb,GRB_F_H-0.9_G-0.75_M-1_T-0.0001_Glomb
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of valid computations:,,90,90,61,57,69,79,75,80,75,81,75,89,73,90,71,71,71,74,71,74,71,76,71,76,26,44,73,88,74,89,69,74,58,77,74,8,76,7,76,5,73,8,74,7,74,5,72,8,72,7,72,5
Ratio of valid computations:,,0.555555556,0.555555556,0.37654321,0.351851852,0.425925926,0.487654321,0.462962963,0.49382716,0.462962963,0.5,0.462962963,0.549382716,0.450617284,0.555555556,0.438271605,0.438271605,0.438271605,0.456790123,0.438271605,0.456790123,0.438271605,0.469135802,0.438271605,0.469135802,0.160493827,0.271604938,0.450617284,0.543209877,0.456790123,0.549382716,0.425925926,0.456790123,0.358024691,0.475308642,0.456790123,0.049382716,0.469135802,0.043209877,0.469135802,0.030864198,0.450617284,0.049382716,0.456790123,0.043209877,0.456790123,0.030864198,0.444444444,0.049382716,0.444444444,0.043209877,0.444444444,0.030864198
Rank of computation time:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mean:,1.544444444,1.533333333,32.3442623,40.12280702,22.17391304,16.30379747,20.34666667,15.7875,20.02666667,13.51851852,17.98666667,9.292134831,19.80821918,7.766666667,24.4084507,20.16901408,27.92957746,20.37837838,26.8028169,20.90540541,31.29577465,21.93421053,31.73239437,22.27631579,43.15384615,34.34090909,20.97260274,12.25,18.5,9.651685393,29.49275362,28.27027027,31.84482759,28.33766234,19.31081081,38.75,19.27631579,40.71428571,18.18421053,38,19.05479452,39,19.91891892,37.42857143,20.21621622,40,18.95833333,38.75,19.875,38.57142857,19.69444444,40.6
,std error of mean:,0.054797294,0.065168348,1.45151604,0.622285512,1.826196974,1.367833181,0.875441391,0.979906525,0.947131029,0.982100296,0.954147593,0.742458145,0.890233393,0.719747898,0.811926929,1.257547879,0.742969146,1.340592673,0.857333493,1.345007938,1.104605131,1.73138452,1.066887742,1.725701781,1.167473766,1.593485959,1.0238244,1.008518726,0.967184357,0.758589433,1.265877642,1.015097375,1.4373152,1.166608332,0.890031983,2.956719043,0.917775879,2.700825918,0.875115846,3.633180425,0.847964107,2.616056192,0.875099234,3.373710746,0.84050801,5.851495535,0.822249788,2.919492679,0.92544982,3.469147651,0.90749598,6.416229422
,0.25 quantile:,1,1,30,38,5,4,15,10,15,7,11,5,13,3,21.5,12,25,10,24,10,30.5,7,32,7.75,43,32.5,14,5,11,5,26,22,29,19,14,37,14,39,13,40,15,35.75,15.25,36.5,15,44,15.5,37,14,36.5,14,47
,median:,2,1,36,41,26,12,19,13,20,11,19,6,20,5,25,17,28,16,28,16,34,18.5,34,21,43,38.5,21,8,18.5,7,33,32,35,32,19.5,39.5,20,44,18,41,19,40.5,19.5,41,20,46,19,40.5,20.5,42,19.5,47
,0.75 quantile:,2,2,40,41,38,31,25,19,24.5,16,24.5,13,25,9,28.5,28.5,32,32,32,33,37,37,37,38,43,42,29,17,25.75,11,37,35,40,36,25,45,23.25,45,22.25,43,24,43.5,25,42.5,25,48,24,45.25,25,42.5,26,47
Rank of number of nodes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
