Number of valid computations:,,90,90,61,57,69,79,75,80,75,81,75,89,73,90,71,71,71,74,71,74,71,76,71,76,26,44,73,88,74,89,69,74,58,77,74,8,76,7,76,5,73,8,74,7,74,5,72,8,72,7,72,5
Ratio of valid computations:,,0.555555556,0.555555556,0.37654321,0.351851852,0.425925926,0.487654321,0.462962963,0.49382716,0.462962963,0.5,0.462962963,0.549382716,0.450617284,0.555555556,0.438271605,0.438271605,0.438271605,0.456790123,0.438271605,0.456790123,0.438271605,0.469135802,0.438271605,0.469135802,0.160493827,0.271604938,0.450617284,0.543209877,0.456790123,0.549382716,0.425925926,0.456790123,0.358024691,0.475308642,0.456790123,0.049382716,0.469135802,0.043209877,0.469135802,0.030864198,0.450617284,0.049382716,0.456790123,0.043209877,0.456790123,0.030864198,0.444444444,0.049382716,0.444444444,0.043209877,0.444444444,0.030864198
Relative distance to minimum computation time:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mean:,-0.794695546,-0.779294191,1114.280348,215.6182493,339.9223963,12.66466038,28.66531541,23.4691289,26.11834293,18.27766963,44.95006419,2.517748708,33.4367619,2.370548812,37.44170464,17.70307363,62.30491041,28.17994347,66.10883479,26.73679429,518.5994999,35.70522625,504.3772652,35.95744505,16404.37211,1240.598595,43.25901391,2.799165241,51.35845045,2.524134144,351.7325396,36.65831712,1285.981343,121.4116335,30.27435301,146.2243251,35.19327893,166.8536667,33.50402888,222.9622162,29.69934579,146.2258382,32.97392592,162.0030948,36.53804922,229.8001782,29.71290634,143.4142902,31.80268511,162.9344383,26.98087451,233.4567943
,std error of mean:,0.027795864,0.033722913,719.1445037,44.74495255,191.9098763,2.633096002,9.362204209,6.571407374,7.688906188,5.746004876,18.1551171,0.667952413,14.09453455,0.855239117,12.78382853,4.747243633,23.335345,11.19546825,24.57794081,10.68481282,236.9631065,13.20313944,232.7348448,13.32044162,6297.180335,638.3845623,23.88276835,0.606727563,24.27168731,0.654358847,250.9949278,8.743993418,1018.68578,37.99546405,10.16118017,84.3836515,11.36427376,94.25302398,10.36853887,116.3320607,9.248258751,84.3115004,10.30869798,91.56176772,11.95908281,119.5686239,8.884108528,82.55107944,10.22027762,91.72177421,7.583805353,121.2629887
,0.25 quantile:,-0.972913588,-0.977900902,4.760483195,10.52327665,0.445071583,0.323041408,1.483213182,0.994115956,1.264510723,0.87424254,1.272541247,0.318485788,1.577778202,0,1.822517834,1.649725681,2.701223603,2.268776438,2.511690221,2.36335292,3.739195529,1.317579726,3.609073009,1.556589241,139.1191419,7.565261934,1.669089414,0.449446604,1.305108679,0.28231891,3.57767065,4.08413271,3.771420023,3.646905637,1.315309847,5.234212153,1.185473204,6.48683185,1.243940855,8.141251671,1.354411994,6.006892647,1.310361573,5.91659162,1.250576305,10.04967413,1.124890522,5.877733891,1.316101933,6.216711473,1.237137678,9.947944519
,median:,-0.90163806,-0.916712524,17.60596254,63.36314821,2.997643158,3.535521404,3.514165212,2.358780651,3.520253678,1.814600852,2.841514731,0.724472313,3.625271863,0.320635531,4.592576799,4.928357001,5.416420432,3.92306572,5.451918406,4.628323401,8.477963508,3.658459312,8.192095035,3.479779447,3126.147478,33.06959107,3.096958827,1.035227156,2.816487989,0.713024832,6.783558567,14.63288934,10.96962429,17.8257623,3.326250293,7.823507132,3.287145081,8.906138592,3.332693946,22.66268343,3.055446591,7.729232954,3.118636779,7.921324922,3.154352713,23.72669876,3.00560168,8.407912455,3.309562293,8.045545065,3.247893134,25.49241791
,0.75 quantile:,-0.745707094,-0.726770943,145.7194742,221.1829321,37.15959523,15.17033548,9.272124604,13.89277977,9.418412786,9.314527056,7.662704382,1.477212895,9.31018627,0.771045282,10.40712867,11.10474612,15.41672379,11.30431992,16.16616417,11.27459211,28.51924121,12.66727805,30.0107535,13.81860389,14745.78463,310.2819443,8.461674026,1.956838598,7.140027853,1.578974553,30.68300771,28.750727,54.75904976,71.7661244,9.028738463,156.7469593,11.55504548,291.5433094,9.856360653,539.3069179,9.104621504,155.5466387,10.06248569,283.5237211,10.63156552,549.4727749,10.28242428,152.8467301,12.18127922,286.0368684,10.69422706,560.9449485
Relative distance to minimum number of nodes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mean:,-0.499929474,-0.522288673,8118.71755,1297.185203,1319.14794,65.83492672,78.25075974,41.89440892,76.42359274,35.03008065,51.33760298,2.663491544,54.60249115,2.488143943,77.11932185,62.07186696,118.3939216,52.33790879,120.5025105,52.19535075,194.3614372,4728.879176,194.3614372,4728.879176,77331.38762,3981.950804,52.47408883,2.795210771,51.03023187,3.06224529,764.1791853,87.03192951,5507.670381,217.0758647,70.01620337,257.9490741,78.56484281,261.2275132,80.44321722,224.1185185,71.17081602,257.9490741,74.44493413,261.2275132,84.99489461,224.1185185,71.42672484,257.9490741,70.41449119,261.2275132,74.14952849,224.1185185
,std error of mean:,0.178838592,0.190425006,5292.18407,633.7623177,848.0166487,19.4192268,22.78336307,14.01551483,23.151672,12.9805,19.4559768,0.887730446,21.38234681,0.970210602,21.0803526,20.59153503,37.95734576,17.43213952,38.22585881,17.43718551,69.51141822,4335.539417,69.51141822,4335.539417,40657.17599,3186.748205,17.92233842,1.095974376,19.98622735,1.153044398,427.6954151,27.09395363,3516.967054,115.0767251,19.97035004,82.81190311,22.0134664,84.07577072,22.34750029,112.5435329,20.1974475,82.81190311,19.75937358,84.07577072,23.39267659,112.5435329,21.20379753,82.81190311,19.25641245,84.07577072,20.19516582,112.5435329
,0.25 quantile:,-0.994993103,-0.996838176,8.027322404,22.42182485,3.89197152,2.856204081,1.942569064,1.019197458,1.021235023,0.763636364,0.994846431,0.086012408,0.777930403,0.022337556,2.903475347,2.2782789,3.345412027,1.933753287,3.345412027,2.03576228,3.383711329,0,3.383711329,0,1357.742391,89.25,0.800535841,0,0.937503817,0,3.847058824,3.445160324,5.879077353,5.55429824,1.577122016,36.25,2.012323211,31.5,1.278087566,22,1.956521739,36.25,1.873870465,31.5,1.761104816,22,1.666004032,36.25,1.63238524,31.5,1.878552947,22
,median:,-0.980745096,-0.986436611,46.37276342,56.7027027,14.19230769,7.592797784,7.142857143,4.33188963,6.706349807,2.324324324,4.876796715,0.493399991,3.681564246,0.352279199,7.523809524,6.081804017,8.674562888,4.49736295,8.674562888,4.49736295,12,2.175458212,12,2.175458212,3535,262.2365338,3.090909091,0.26331767,4.305179378,0.317,20.5687885,10.60028022,14.19672131,13.22190267,6.994619306,195.5,8.64308257,301,7.502941176,41,6.794117647,195.5,7.8,301,7.8,41,6.767961165,195.5,6.964705882,301,6.964705882,41
,0.75 quantile:,-0.778393656,-0.83753697,295.3239437,312,203.4,24.89056642,27.45063278,14.1443091,21.87184522,10.37585165,18.18609958,1.349105368,21.421875,1.04368932,37.84064748,20.68665158,56.59665397,18.24264706,54.38236826,17.27243173,101,10.97377739,101,10.97377739,11678.29808,893.3798545,22.46641232,0.941349723,17.33113679,1.207496653,128.046875,37.39807141,219.2464789,59.02056105,24.20596335,483,25.17612699,433.5,30.58703242,460,29.8,483,29.31978022,433.5,36.74292013,460,24.48360542,483,32.50272749,433.5,36.75547474,460
Relative distance to minimum number of subproblems:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mean:,,,9.504660987,9.565602185,10.17768436,3.548522702,5.999360415,3.512954975,6.003901261,3.002174554,7.650064869,0.194369065,7.098432243,0.232328466,5.993301306,3.840676842,6.502929297,2.883791282,6.550101861,2.906697367,21.31561539,3.787274036,21.31561539,3.787274036,319.3324101,16.31245062,7.273942053,0.234832483,7.655189708,0.25267011,12.07719176,5.226482604,25.26388674,10.07736107,4.883928541,2.909479272,4.168632918,2.865255223,3.605226318,2.313175494,5.152661731,2.909479272,4.405161714,2.865255223,3.889909086,2.313175494,5.209760006,2.909479272,4.611984859,2.865255223,4.170533162,2.313175494
,std error of mean:,,,2.333369306,0.932537843,2.354152367,0.440168468,1.168717198,0.591538416,1.188709842,0.542582511,1.67319416,0.027710511,1.63628631,0.0271931,1.160068005,0.596576092,1.314669536,0.323131867,1.324902027,0.327441763,7.286099221,0.708861487,7.286099221,0.708861487,70.60528472,3.176287711,1.867321708,0.031020064,1.936038676,0.032065553,2.758169565,0.721476113,8.406238633,1.23084178,0.947128534,0.719070987,0.778819702,0.758740052,0.613039828,0.926179024,0.9815389,0.719070987,0.819434135,0.758740052,0.694017907,0.926179024,1.006560751,0.719070987,0.942407082,0.758740052,0.801798244,0.926179024
,0.25 quantile:,,,2.016110472,4.132352941,1.694444444,1.255640244,0.892568642,0.665628357,0.836502783,0.613636364,0.741363274,0,0.837837838,0,1.208333333,0.957539683,1.340704341,0.991430818,1.340704341,0.991430818,1.645257827,0.657108879,1.645257827,0.657108879,70.70441989,3.253293808,0.619047619,0.01056338,0.691674898,0.027129197,2.446153846,1.844350789,4.053150407,3.855072464,0.685590299,1.036413043,0.643173557,0.922826087,0.623948107,0.695652174,0.660323501,1.036413043,0.657650885,0.922826087,0.639364641,0.695652174,0.770560408,1.036413043,0.687179487,0.922826087,0.613712375,0.695652174
,median:,,,4.114285714,7.728119181,3.464,2.4,2.464,1.271621622,2.274,1.177777778,2.090243902,0.096774194,1.971800434,0.156927104,2.829604773,2.446808511,2.954545455,2.290009251,2.954545455,2.290009251,5.507246377,1.34367519,5.507246377,1.34367519,147,8.711672474,2.0398956,0.153846154,2.140243902,0.188481675,5.238636364,3.651857143,7.556802311,6.09223847,2.093869366,3.268049155,1.782419786,3.4,1.675339367,1.15,2.103896104,3.268049155,1.838615385,3.4,1.567766075,1.15,2.108691309,3.268049155,1.755757232,3.4,1.781102618,1.15
,0.75 quantile:,,,9.240650407,14.74025974,8.886649874,4.238674675,5.75837469,3.32981979,6.944532225,3.364963504,7.152804689,0.292307692,5.739130435,0.34237013,5.106520572,4.605091623,5.657380457,3.993387097,6.266745006,3.993387097,9.524559441,4.211571021,9.524559441,4.211571021,422.9128205,18.83915858,7.090909091,0.335980013,6.04440966,0.339707537,11.7902439,5.985651089,16.80207358,13.38461538,4.297078086,4.857142857,3.982294474,4.815668203,3.588463728,4.774193548,4.826086957,4.857142857,4.868009434,4.815668203,3.901125527,4.774193548,4.893408135,4.857142857,5.105535383,4.815668203,4.121836228,4.774193548
Relative distance to minimum number of feasibility cuts:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mean:,,,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,6.272429654,inf,6.911348176,inf,7.895887446,inf,6.272429654,inf,6.911348176,inf,7.895887446,inf,6.272429654,inf,6.911348176,inf,7.895887446
,std error of mean:,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.824130155,nan,1.973170594,nan,2.628221071,nan,1.824130155,nan,1.973170594,nan,2.628221071,nan,1.824130155,nan,1.973170594,nan,2.628221071
,0.25 quantile:,,,10.46153846,18.18181818,8.352941176,7.642857143,1.633089133,1.160714286,1.439004815,1.333333333,0.861904762,0.054166667,0.846153846,0.091991342,1.788888889,1.429118774,1.702736318,1.495402299,1.702736318,1.495402299,3.429166667,0,3.429166667,0,26.65,2.266666667,1,0,0.839285714,0,8.538461538,6.842592593,7.035714286,6.95,1.60026738,3.125,1.577540107,3.975,1.605392157,4.25,1.588235294,3.125,1.596581876,3.975,1.591176471,4.25,1.581801471,3.125,1.577540107,3.975,1.505944056,4.25
,median:,,,23.2,39.33333333,19.57142857,17.82857143,2.666666667,2.591666667,2.75,2.444444444,1.75,0.267948718,1.825,0.30625,3,2.727272727,3.333333333,2.436507937,3.333333333,2.422619048,7.528089888,0.757352941,7.528089888,0.757352941,172.5,4.636363636,1.87804878,0.244047619,1.736111111,0.215250965,17.28571429,14.3,16.76190476,17.46511628,2.882890365,4.725,3.015384615,5.2,3.142857143,5.333333333,2.88372093,4.725,2.827564103,5.2,3.293650794,5.333333333,2.923076923,4.725,3.182539683,5.2,3,5.333333333
,0.75 quantile:,,,41.4,65,45,35.13492063,4.769736842,4.604320988,4.611111111,4.6,3.055555556,0.623188406,2.857142857,0.647222222,4.866666667,4.833333333,6.4,4.213043478,6.4,4.15,14.56538462,2,14.56538462,2,848.625,10.95833333,2.888888889,0.75,3.028125,0.666666667,35.25714286,31.58215812,44.078125,35.82142857,4.766666667,7.045454545,5.016666667,8.757575758,5.745454545,12.18181818,4.8,7.045454545,5.15,8.757575758,6.420909091,12.18181818,4.7,7.045454545,4.85,8.757575758,6.05,12.18181818
Relative distance to minimum number of optimality cuts:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mean:,,,6.245026061,4.268350765,8.2499348,1.559492327,7.517481883,4.399560991,7.532607121,3.759509904,9.276928869,0.537622729,8.697705576,0.53735589,7.546159408,4.939269329,8.053989784,3.813760184,8.105732714,3.828528443,24.22842956,7.258079836,24.22842956,7.258079836,413.0574134,22.76562876,8.925483762,0.586980247,9.280989576,0.621227694,11.40165395,3.809741509,10.47221251,2.615939788,6.197692604,6.089066543,5.31755655,6.367260159,4.579334363,7.022043011,6.560783669,6.089066543,5.60385352,6.367260159,4.907722548,7.022043011,6.658245767,6.089066543,5.886595124,6.367260159,5.285367656,7.022043011
,std error of mean:,,,1.667415481,0.491388712,2.315378629,0.199519893,1.362507881,0.701279832,1.398945139,0.644040592,1.885231836,0.111077134,1.86305304,0.105163481,1.363721497,0.709554592,1.538655379,0.48031917,1.546979269,0.482116379,8.261539052,1.790040586,8.261539052,1.790040586,85.94696639,4.24698253,2.11934072,0.109871418,2.168297811,0.110577717,2.958259511,0.432413815,3.862649471,0.417847093,1.125130047,1.634757039,0.939160735,1.794976983,0.754166996,2.436063023,1.168803729,1.634757039,0.985951348,1.794976983,0.843559561,2.436063023,1.199008295,1.634757039,1.125375457,1.794976983,0.960423044,2.436063023
,0.25 quantile:,,,0.75,1.709090909,0.65456821,0.407701352,1.126282051,0.693693694,1.15704607,0.617647059,1.361305361,0.031111111,1.294117647,0.016072533,1.377704918,1.187363834,1.838870733,1.283275174,1.838870733,1.354237288,2.197268908,0.805783133,2.197268908,0.805783133,96.41909091,6.844845722,1.363636364,0.051180205,1.467240555,0.068965517,1.831334623,1.344594595,0.734797297,0.294117647,0.884233201,3.268382353,0.870191661,3.738636364,0.708461538,3.75,0.84,3.268382353,0.874679487,3.738636364,0.8425,3.75,0.892936596,3.268382353,0.989237713,3.738636364,0.957264957,3.75
,median:,,,1.897959184,3.133858268,2.121212121,1.072463768,3.208092486,1.385054022,2.884057971,1.491525424,3.333333333,0.165517241,3.075435203,0.244933795,3.486895161,2.850806452,3.576271186,2.899099099,3.576271186,2.899099099,6.090909091,2.191433566,6.090909091,2.191433566,182.7908497,12.93910256,3.387283237,0.28836955,3.365384615,0.276998597,4.740046838,2.857028112,2.10756486,1.179487179,2.925980392,5.866666667,2.322694144,5.733333333,2.03250774,6,2.866666667,5.866666667,2.526169207,5.733333333,1.885448916,6,2.820180529,5.866666667,1.94857504,5.733333333,2.195286412,6
,0.75 quantile:,,,5.352941176,5.28,5.563636364,2.040133779,9.433333333,4.739697802,8.318117978,3.851851852,9.139390844,0.562005277,6.764705882,0.595488183,6.25,5.957671958,8.024038462,4.819811591,8.303240741,4.819811591,10.56111111,6.236676017,10.56111111,6.236676017,646.1096979,23.14224138,8.73992674,0.620014955,6.711538462,0.684210526,9.709090909,5.006970939,4.736083589,3.264150943,5.470588235,6.742424242,5.147844301,7.416666667,4.61891255,8.833333333,7.166666667,6.742424242,5.632352941,7.416666667,4.725645078,8.833333333,7.375,6.742424242,6.026828299,7.416666667,5.812197583,8.833333333
Relative distance to minimum number of cuts:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mean:,,,10.06042877,10.12165638,10.67470578,3.6515066,6.24436168,3.658792616,6.235117151,3.098845048,7.954406956,0.189787687,7.361093178,0.214593544,6.256995536,3.998228989,6.771133773,2.983955371,6.822067557,3.003712459,22.15586054,4.014367021,22.15586054,4.014367021,347.9604802,17.23453721,7.554219809,0.233082971,7.944504428,0.253927799,12.58942837,5.303259886,13.168056,4.686902587,5.116068362,3.220746655,4.37846007,3.210685252,3.797460101,2.686724059,5.398572109,3.220746655,4.629716925,3.210685252,4.097006023,2.686724059,5.457802664,3.220746655,4.847478396,3.210685252,4.40276407,2.686724059
,std error of mean:,,,2.560776682,1.02132269,2.495045556,0.466517456,1.215456985,0.611532048,1.239313778,0.559988014,1.738901887,0.027574287,1.688705427,0.027680943,1.208136453,0.61417201,1.371624653,0.335639904,1.381393826,0.339739987,7.481271998,0.731429379,7.481271998,0.731429379,77.99314965,3.308536625,1.923478539,0.030858988,1.993696048,0.032148566,2.917055453,0.741160569,4.762759314,0.64914839,0.985104988,0.782288301,0.810666709,0.839999975,0.6416238,1.04765968,1.021729551,0.782288301,0.855802311,0.839999975,0.729610774,1.04765968,1.046008133,0.782288301,0.981881953,0.839999975,0.842915064,1.04765968
,0.25 quantile:,,,2.022041763,4.166666667,1.782363977,1.273194363,0.954040404,0.726913529,1,0.615009381,0.760062416,0,0.777777778,0,1.201923077,0.903488372,1.392269737,0.943673418,1.392269737,0.943673418,1.775679672,0.719267348,1.775679672,0.719267348,75.49653313,3.813322368,0.590211132,0.027405363,0.709081197,0.02507837,2.557251908,1.879987856,1.70879431,1.424242424,0.7625,1.157894737,0.745137421,1.105263158,0.721995192,1,0.730769231,1.157894737,0.746601073,1.105263158,0.729840015,1,0.85858349,1.157894737,0.837969589,1.105263158,0.72919154,1
,median:,,,4.263917526,8.049382716,3.53030303,2.41443299,2.53814433,1.336030142,2.340206186,1.279069767,2.165394402,0.083333333,2.00554939,0.105827506,2.920634921,2.52231405,3.107526882,2.330021142,3.107526882,2.330021142,5.818181818,1.492897727,5.818181818,1.492897727,152.915625,8.998701299,2.046904315,0.142665131,2.187104982,0.1875,5.416666667,3.612717246,3.318419133,2.596153846,2.380952381,3.366176471,1.891414141,3.441176471,1.729757395,1.210526316,2.392857143,3.366176471,1.975961381,3.441176471,1.580165289,1.210526316,2.390873016,3.366176471,1.795600534,3.441176471,1.82081744,1.210526316
,0.75 quantile:,,,9.388429752,15.43055556,9.012787724,4.281206171,6.529794187,3.531890764,7.456920373,3.390115668,7.562551015,0.258064516,5.818181818,0.35044735,5.308755039,4.843822844,6.472027972,4.089538153,6.651515152,4.089538153,10.07963526,4.710477658,10.07963526,4.710477658,474.9089973,19.99458874,7.677419355,0.307692308,6.242510078,0.378640777,11.94214876,6.05704698,8.451337827,6.451612903,4.318256402,5.286363636,4.030986912,5.390909091,3.71850934,5.181818182,4.909090909,5.286363636,4.930810792,5.390909091,3.979838349,5.181818182,5.243881119,5.286363636,5.243217989,5.390909091,4.356282164,5.181818182
Relative distance to minimum time spent in subproblems:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mean,,,26.01775959,80.78723984,3.850152827,1.540477886,10.65840568,13.93932232,10.92627648,10.13005803,5.636045216,3.287395964,6.629327122,2.505701633,11.47796833,14.52745323,12.55070547,13.0479737,12.65373115,12.85490855,28.21391678,30.40884879,28.81557749,30.68582307,234.4878799,23.18747572,7.0642536,3.731650326,5.62689745,3.288906742,14.67905119,17.51222849,48.48505177,16.57793261,10.12435866,150.4708851,9.789490321,171.7480968,9.50217609,228.9708067,10.01742352,150.4984721,9.982360959,166.6660043,9.924538756,236.0264144,10.21224394,147.7348452,10.27643028,167.7513577,10.19892732,239.8048372
,std error of mean:,,,8.285765073,22.78451913,1.370261624,0.431051023,3.24037007,4.944185971,3.981066276,3.805222854,1.031285674,0.698640866,1.224069962,0.874454605,3.262282758,4.569700096,3.260296674,4.345736891,3.303800794,4.350693059,10.18832016,12.53238438,10.29296013,12.62219048,57.89251445,6.880408446,1.6414207,0.614856945,1.309700525,0.680188745,4.18200879,4.221235824,26.92600328,3.717831422,2.956664816,86.11495464,2.877302486,96.13661658,2.852713081,118.6367551,2.985913993,86.04297642,2.965229185,93.41345522,2.963075571,121.9181081,3.039087571,84.2214627,3.050419654,93.54676258,3.021066508,123.641668
