(copy of rankings_CPX_all_completed_21Jun2026-17h06.csv),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benders methods are compared based on their rankings with respect to several measures of performance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of networks:,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of methods:,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methods (see legend below): ,,CPX_T-0.0001_ILP_flow,CPX_T-0.0001_ILP_flow_strong,CPX_T-0.0001_Std,CPX_F_T-0.0001_Std,CPX_T-0.0001_Std_Decomp,CPX_F_T-0.0001_Std_Decomp,CPX_T-0.0001_Fisch,CPX_F_T-0.0001_Fisch,CPX_U_T-0.0001_Fisch,CPX_F_U_T-0.0001_Fisch,CPX_T-0.0001_StatBS,CPX_F_T-0.0001_StatBS,CPX_U_T-0.0001_StatBS,CPX_F_U_T-0.0001_StatBS,CPX_G-0.1_M-1_T-0.0001_AdaptBS,CPX_F_G-0.1_M-1_T-0.0001_AdaptBS,CPX_G-0.5_M-1_T-0.0001_AdaptBS,CPX_F_G-0.5_M-1_T-0.0001_AdaptBS,CPX_M-1_T-0.0001_AdaptBS,CPX_F_M-1_T-0.0001_AdaptBS,CPX_E-2_T-0.0001_Seo,CPX_F_E-2_T-0.0001_Seo,CPX_E-4_T-0.0001_Seo,CPX_F_E-4_T-0.0001_Seo,CPX_R-0_T-0.0001_HT,CPX_F_R-0_T-0.0001_HT,CPX_R-1_T-0.0001_HT,CPX_F_R-1_T-0.0001_HT,CPX_R-2_T-0.0001_HT,CPX_F_R-2_T-0.0001_HT,CPX_P-1.0_L-0.5_A_T-0.0001_MW,CPX_F_P-1.0_L-0.5_A_T-0.0001_MW,CPX_P-1.0_L-0.5_T-0.0001_Papa,CPX_F_P-1.0_L-0.5_T-0.0001_Papa,CPX_H-0.1_G-0.1_M-1_T-0.0001_Glomb,CPX_F_H-0.1_G-0.1_M-1_T-0.0001_Glomb,CPX_H-0.1_G-0.25_M-1_T-0.0001_Glomb,CPX_F_H-0.1_G-0.25_M-1_T-0.0001_Glomb,CPX_H-0.1_G-0.75_M-1_T-0.0001_Glomb,CPX_F_H-0.1_G-0.75_M-1_T-0.0001_Glomb,CPX_H-0.5_G-0.1_M-1_T-0.0001_Glomb,CPX_F_H-0.5_G-0.1_M-1_T-0.0001_Glomb,CPX_H-0.5_G-0.25_M-1_T-0.0001_Glomb,CPX_F_H-0.5_G-0.25_M-1_T-0.0001_Glomb,CPX_H-0.5_G-0.75_M-1_T-0.0001_Glomb,CPX_F_H-0.5_G-0.75_M-1_T-0.0001_Glomb,CPX_H-0.9_G-0.1_M-1_T-0.0001_Glomb,CPX_F_H-0.9_G-0.1_M-1_T-0.0001_Glomb,CPX_H-0.9_G-0.25_M-1_T-0.0001_Glomb,CPX_F_H-0.9_G-0.25_M-1_T-0.0001_Glomb,CPX_H-0.9_G-0.75_M-1_T-0.0001_Glomb,CPX_F_H-0.9_G-0.75_M-1_T-0.0001_Glomb
Rank of computation time:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mean:,1.685393258,1.404494382,nan,nan,nan,9.65625,9.25,9.360655738,10.66176471,10.32876712,9.416666667,5.352112676,10.91428571,6.895348837,nan,nan,nan,nan,nan,10.26865672,nan,12.33333333,nan,nan,nan,nan,12.16129032,9.228571429,9.915254237,5.791044776,nan,13.01666667,nan,nan,nan,nan,nan,nan,nan,nan,8.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
,std error of mean:,0.058589889,0.064972781,nan,nan,nan,0.703374522,0.43466648,0.353910687,0.428549847,0.433645405,0.488928344,0.343903512,0.48307808,0.42914037,nan,nan,nan,nan,nan,0.5177113,nan,1.521451549,nan,nan,nan,nan,0.343812218,0.531908934,0.478367505,0.386066819,nan,0.53670376,nan,nan,nan,nan,nan,nan,nan,nan,0.44554484,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
,0.25 quantile:,1,1,nan,nan,nan,3,7,7,8,8,6,3,7,4,nan,nan,nan,nan,nan,7,nan,9.5,nan,nan,nan,nan,11,6,6.5,4,nan,9,nan,nan,nan,nan,nan,nan,nan,nan,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
,median:,2,1,nan,nan,nan,9.5,9,8,11.5,9,10,4,11,5,nan,nan,nan,nan,nan,10,nan,11.5,nan,nan,nan,nan,13,6.5,11,5,nan,14,nan,nan,nan,nan,nan,nan,nan,nan,8.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
,0.75 quantile:,2,2,nan,nan,nan,15,11,11,13,14,12,7,14,9,nan,nan,nan,nan,nan,14.5,nan,14.25,nan,nan,nan,nan,14,13,12,7,nan,16,nan,nan,nan,nan,nan,nan,nan,nan,10.75,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Rank of number of nodes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mean:,1.764044944,1.303370787,nan,nan,nan,14.2421875,10.40178571,9.131147541,10.03676471,7.561643836,9.725,5.73943662,9.778571429,5.203488372,nan,nan,nan,nan,nan,11.08208955,nan,9.666666667,nan,nan,nan,nan,10.38709677,6.214285714,10.40677966,6.388059701,nan,14.05833333,nan,nan,nan,nan,nan,nan,nan,nan,11.62142857,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
,std error of mean:,0.042851499,0.046746149,nan,nan,nan,0.379850175,0.43069038,0.392913175,0.394780525,0.291389088,0.48296322,0.353638827,0.402876863,0.310203477,nan,nan,nan,nan,nan,0.532063596,nan,1.465656218,nan,nan,nan,nan,0.500054544,0.390129679,0.473739361,0.480497451,nan,0.413167249,nan,nan,nan,nan,nan,nan,nan,nan,0.408386036,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
,0.25 quantile:,1.5,1,nan,nan,nan,12,8.375,7,8,6,7,4,7,3,nan,nan,nan,nan,nan,7,nan,7.25,nan,nan,nan,nan,7.25,4,8,3.5,nan,12,nan,nan,nan,nan,nan,nan,nan,nan,10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
,median:,2,1,nan,nan,nan,15,10,9,10,8,9,5,10,4,nan,nan,nan,nan,nan,11,nan,9,nan,nan,nan,nan,10.5,5,11,5,nan,15,nan,nan,nan,nan,nan,nan,nan,nan,11,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
,0.75 quantile:,2,1.5,nan,nan,nan,16,13,11,12.625,9,12.25,6,12,6,nan,nan,nan,nan,nan,15,nan,10,nan,nan,nan,nan,13,7,13,8,nan,17,nan,nan,nan,nan,nan,nan,nan,nan,14.75,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Rank of number of subproblems:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mean:,,,nan,nan,nan,9.3125,8.821428571,7.852459016,6.220588235,4.678082192,9.466666667,4.598591549,7.164285714,1.802325581,nan,nan,nan,nan,nan,8.626865672,nan,14.33333333,nan,nan,nan,nan,9.774193548,4.478571429,9.703389831,5.462686567,nan,11.94166667,nan,nan,nan,nan,nan,nan,nan,nan,10.42857143,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
,std error of mean:,,,nan,nan,nan,0.442010786,0.411572971,0.43962926,0.345100149,0.249482456,0.438410428,0.400433672,0.459338636,0.143424251,nan,nan,nan,nan,nan,0.473200627,nan,1.194121403,nan,nan,nan,nan,0.446642787,0.39633985,0.474291477,0.502866968,nan,0.406217591,nan,nan,nan,nan,nan,nan,nan,nan,0.381763592,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
,0.25 quantile:,,,nan,nan,nan,6.875,6,6,4,3,7.375,2,3.625,1,nan,nan,nan,nan,nan,5,nan,12.75,nan,nan,nan,nan,8,2,7,2,nan,9.75,nan,nan,nan,nan,nan,nan,nan,nan,8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
,median:,,,nan,nan,nan,10,9,7,6,5,10,3,7.75,1,nan,nan,nan,nan,nan,8,nan,15.5,nan,nan,nan,nan,11,3,10,4,nan,13,nan,nan,nan,nan,nan,nan,nan,nan,10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
,0.75 quantile:,,,nan,nan,nan,12,11.125,10,8,6,12,7,10,2,nan,nan,nan,nan,nan,12,nan,16.75,nan,nan,nan,nan,12.75,6,12.5,8,nan,14,nan,nan,nan,nan,nan,nan,nan,nan,13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Rank of number of feasibility cuts:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
