(copy of rankings_GRB_all_Std_cautious_Papa_rev_algo_CPX_all_completed_30June2026-23h05_restricted.csv),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benders methods are compared based on their rankings with respect to several measures of performance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of networks:,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of methods:,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methods (see legend below): ,,GRB_T-0.0001_ILP_flow,CPX_T-0.0001_ILP_flow,GRB_T-0.0001_ILP_flow_strong,CPX_T-0.0001_ILP_flow_strong,GRB_F_T-0.0001_Std_Decomp,CPX_F_T-0.0001_Std_Decomp,GRB_T-0.0001_Fisch,CPX_T-0.0001_Fisch,GRB_F_T-0.0001_Fisch,CPX_F_T-0.0001_Fisch,GRB_U_T-0.0001_Fisch,CPX_U_T-0.0001_Fisch,GRB_F_U_T-0.0001_Fisch,CPX_F_U_T-0.0001_Fisch,GRB_T-0.0001_StatBS,CPX_T-0.0001_StatBS,GRB_F_T-0.0001_StatBS,CPX_F_T-0.0001_StatBS,GRB_U_T-0.0001_StatBS,CPX_U_T-0.0001_StatBS,GRB_F_U_T-0.0001_StatBS,CPX_F_U_T-0.0001_StatBS,GRB_F_M-1_T-0.0001_AdaptBS,CPX_F_M-1_T-0.0001_AdaptBS,GRB_F_E-2_T-0.0001_Seo,CPX_F_E-2_T-0.0001_Seo,GRB_R-1_T-0.0001_HT,CPX_R-1_T-0.0001_HT,GRB_F_R-1_T-0.0001_HT,CPX_F_R-1_T-0.0001_HT,GRB_R-2_T-0.0001_HT,CPX_R-2_T-0.0001_HT,GRB_F_R-2_T-0.0001_HT,CPX_F_R-2_T-0.0001_HT,GRB_F_P-1.0_L-0.5_A_T-0.0001_MW,CPX_F_P-1.0_L-0.5_A_T-0.0001_MW,GRB_H-0.5_G-0.1_M-1_T-0.0001_Glomb,CPX_H-0.5_G-0.1_M-1_T-0.0001_Glomb
,mean:,nan,nan,nan,nan,8.888888889,13,13.125,12.68421053,5.545454545,6.764705882,11.75,12.23529412,4.4,7.153846154,13.25,12.57894737,2,5.5,11.38888889,12.63157895,4,6,5.307692308,7.473684211,6.6,8.25,11.94444444,13.52380952,3.5,6.166666667,10.70588235,12.6,3,7.4,7.466666667,13.52380952,8.461538462,11.1875
,std error of mean:,nan,nan,nan,nan,2.246777909,2.526306043,1.709063614,1.321152505,0.947930642,0.943120829,1.429324578,1.249302675,0.896660471,1.113904343,1.300540753,1.381146879,0,1.436140662,1.416696925,1.428267312,0,0,1.137757659,1.563730926,1.930802942,2.291666667,1.318136128,1.622711607,1.767766953,1.623040129,1.048197352,1.333041635,0,2.308246087,2.198720166,2.009748405,1.189775896,1.305692914
,0.25 quantile:,nan,nan,nan,nan,2,3,7.5,9,3.5,5,8,7,3,5,10,8.5,2,4.75,8.25,8,4,6,2,2,5,1,10,4,2.25,3.5,8,10,3,4,2.5,4,6,7.25
,median:,nan,nan,nan,nan,10,16,12,12,5,7,11,12,3,7,12.5,15,2,6,10.5,15,4,6,3,4,5,5,11.5,16,3.5,5,12,13.5,3,7,3,16,9,12
,0.75 quantile:,nan,nan,nan,nan,14,21,16.75,16,7.5,9,14.25,15,5,8,17,16.5,2,6.75,14.5,17,4,6,9,10.5,8,12.25,15,20,4.75,7.25,13,18,3,7,8,21,9,15.25
Rank of relative distance to minimum upper bound:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mean:,nan,nan,nan,nan,5.833333333,12.3,12.34375,11.78947368,7.772727273,8.588235294,11.21875,12.5,7.1,8.038461538,13.8125,11.86842105,1.5,6.75,10.66666667,10.52631579,5,6,4.923076923,7.526315789,8.2,9.333333333,12.88888889,13.30952381,4.25,7.333333333,12.02941176,11.575,1.5,8.2,7.366666667,13.52380952,8.038461538,10.84375
,std error of mean:,nan,nan,nan,nan,1.897041231,2.244895444,2.058575219,1.054810764,1.30694843,0.8475849,2.007295653,1.195435378,2.180366942,1.029823818,1.535946242,1.278331076,0,1.430690393,1.827431578,1.21650337,0,0,1.223350422,1.584845862,2.674322344,2.536766679,1.802157296,1.123080974,1.944543648,1.742709682,1.547109476,0.981882758,0,2.472245942,2.085647603,1.682737549,1.760397295,1.105489454
,0.25 quantile:,nan,nan,nan,nan,2,5,5.5,8.75,4.75,7,3.5,9,2.125,5,9.875,8,1.5,5.25,5.25,6,5,6,1,3,5,1.75,4.5,11.5,2.875,4.25,7,8.875,1.5,4,2,6,3.5,7.75
,median:,nan,nan,nan,nan,2.5,11.5,10,10,7,8,11.5,14,4.5,7,13,11.5,1.5,6.5,7.75,10,5,6,3,4,5,6,14,14,4.25,5.5,12,11.5,1.5,8,3,15,6,12
,0.75 quantile:,nan,nan,nan,nan,9,20,18.25,14.5,11,11,17,16,10.5,10,18.25,16.5,1.5,8,17.5,14,5,6,7,12,10,16.5,18.75,16,5.625,9.75,16,15,1.5,9,9,18,11,14
Rank of relative distance to maximum lower bound:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mean:,nan,nan,nan,nan,12.33333333,13.2,10.9375,14.31578947,5.454545455,7.470588235,9.125,13.23529412,4.3,8.153846154,12,13.73684211,3,5.5,10.27777778,14.05263158,5,6,5.615384615,8,5.4,4.833333333,10.72222222,14.04761905,2,5.666666667,10.70588235,13.6,6,6.4,7.733333333,13.23809524,7.615384615,11.5
,std error of mean:,nan,nan,nan,nan,2.977280224,2.568527464,0.845339937,1.308511729,0.836794715,1.094552877,0.774974798,1.279406793,0.775241898,1.450754359,0.892678554,1.521484377,0.707106781,1.436140662,0.99320393,1.588521297,0,0,1.238143588,1.65098812,1.152388823,1.508463776,1.02981946,1.752841801,0.707106781,1.850925694,1.044891034,1.480540442,0,1.589968553,2.232022833,2.038078284,1.017820281,1.543636129
,0.25 quantile:,nan,nan,nan,nan,4,2.5,8.5,11.5,4,4,8,9,3,5,11,7.5,2.5,4.75,9,8.5,5,6,2,3,5,1,9.25,5,1.5,2.25,8,11.75,6,5,2.5,4,5,6.5
,median:,nan,nan,nan,nan,13,15,11.5,14,6,8,9.5,14,3.5,7,12,15,3,6,9.5,17,5,6,3,5,5,2,11,16,2,4,10,15,6,7,4,16,7,13.5
,0.75 quantile:,nan,nan,nan,nan,20,21,13,18,6.5,10,10.5,18,4,9,15,19,3.5,6.75,12.75,19,5,6,10,11.5,8,8,12.75,20,2.5,8,14,17.25,6,7,8.5,22,10,16.25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Block B: Report on networks that cannot be solved inside the time limit (36000s) through any Benders method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of valid computations:,,62,62,62,62,59,59,61,61,60,60,59,59,60,60,56,56,57,57,58,58,59,59,45,45,20,20,53,53,50,50,56,56,56,56,59,59,62,62
Ratio of valid computations:,,0.382716049,0.382716049,0.382716049,0.382716049,0.364197531,0.364197531,0.37654321,0.37654321,0.37037037,0.37037037,0.364197531,0.364197531,0.37037037,0.37037037,0.345679012,0.345679012,0.351851852,0.351851852,0.358024691,0.358024691,0.364197531,0.364197531,0.277777778,0.277777778,0.12345679,0.12345679,0.327160494,0.327160494,0.308641975,0.308641975,0.345679012,0.345679012,0.345679012,0.345679012,0.364197531,0.364197531,0.382716049,0.382716049
Rank of relative gap:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mean:,2.10483871,3.60483871,1.64516129,2.64516129,22.30508475,32.59322034,20.80327869,24.21311475,17.26666667,19.95,18.55932203,25.42372881,14.38333333,23.46666667,19.28571429,27.67857143,9.421052632,9.684210526,19.84482759,26.5,6.254237288,8.559322034,18.17777778,27.35555556,13,14.95,19.9245283,29.24528302,10.02,11.96,19.51785714,27.94642857,9.696428571,8.785714286,29.49152542,33.93220339,20.09677419,24.17741935
,std error of mean:,0.11065568,0.08155702,0.105387581,0.103519678,1.135278033,0.640542827,0.686499627,0.592941893,0.51954396,0.570781628,0.846192678,0.664788627,0.500606114,0.688987448,0.768776147,0.594997826,0.412894182,0.519344412,0.850544249,0.602832198,0.249783843,0.340058621,1.096926746,1.018425585,1.8734994,2.438724052,0.759348551,0.530256264,0.4004897,0.512999025,0.787332373,0.447797646,0.487679613,0.448007412,0.855343943,0.569685402,0.683806174,0.683735605
,0.25 quantile:,1.5,3.125,1,2,14,31,17,21,15,16.75,14,22,12,18,14,24,7,7,15.25,24,5,7,13,23,6.75,6,16,27,8,10,15,26,7,7,27,33,16,22
,median:,2,4,1.5,3,21,34,21,25,17.5,20,18,25,15,25,19,28,9,9,19,28,6,8,16,28,10.5,11,20,30,10,12,19.5,28,9,8,32,36,20,24
,0.75 quantile:,3,4,2,3,30.5,36,24,28,20,24,23.5,29,18,27,23,31,11,11,24.75,30,7,10,22,34,14.25,16.25,23,32,11,14,24.25,30,11.25,10,34,36,24,27.75
Rank of relative distance to minimum upper bound:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mean:,2.540322581,2.879032258,2.435483871,2.693548387,17.93220339,25.01694915,22.67213115,19.62295082,20.03333333,17.9,19.6779661,20.57627119,17.3,22.38333333,20.55357143,26.48214286,14.62280702,12.21929825,21.5,24.18965517,7.576271186,10.12711864,21.06666667,26.44444444,21.55,15.25,21.1509434,28.41509434,14.93,14.45,19.89285714,26.5,14.09821429,9.991071429,25.05932203,30.71186441,21.93548387,20.19354839
,std error of mean:,0.084040142,0.08736926,0.092993258,0.085616786,1.238069038,1.216210419,0.920582324,0.828530472,0.90706078,0.594278274,1.136589666,1.011909374,0.91174436,0.816867889,1.107695612,0.945245579,1.039781263,0.932222788,1.096489371,0.810329015,0.428081636,0.622820039,1.214480532,1.327972763,2.487443467,2.525742465,1.147503746,0.743038877,1.181102028,0.942151792,1.064165433,0.737134551,1.076359164,0.583916431,1.086471399,0.832426304,0.853428834,0.922275697
,0.25 quantile:,2.5,2.5,2.5,2.5,9,16.5,18,15,15.75,15,12.5,15,12,18,14,22,8,7,15,20,5,6,15,17,11.5,5.75,15,25,9,9.625,13.75,22.75,8,7,18.5,27,16.25,14.25
,median:,2.5,2.5,2.5,2.5,16,26,23,20,20,17.5,20,21,16,23,21,28,14,10,22.5,24,7,9,19,29,21.5,11,20,30,12,12,20.5,27,11,9,28,33,21,19.5
,0.75 quantile:,2.5,3,2.5,2.875,25,33.5,29,25,26,21,27.5,26,23.25,27.25,28,32,20,14,28,29,10,11.5,27,35,32.25,21.5,29,32,19.25,17.75,27,30.25,18.75,12.25,32,36,26.75,25.75
Rank of relative distance to maximun lower bound:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mean:,2.129032258,3.524193548,1.701612903,2.64516129,23.51694915,32.6440678,19.80327869,26.8852459,16.51666667,21.5,17.94915254,27.94915254,13.36666667,24.36666667,18.92857143,28.19642857,8.263157895,9.684210526,18.05172414,27.05172414,5.949152542,9.06779661,16.6,28.04444444,8.6,14.65,19.73584906,29,8.72,12.1,19.05357143,27.74107143,8.607142857,9.571428571,29.3559322,33.86440678,19.17741935,26.19354839
,std error of mean:,0.104487927,0.084139937,0.107871564,0.094314919,1.085603878,0.650177406,0.552446695,0.513770785,0.376749008,0.601156293,0.649585521,0.566935207,0.36436144,0.635070716,0.548570233,0.484069986,0.311398632,0.384493123,0.612213394,0.618493439,0.208169446,0.258010873,0.938293697,0.989303561,1.257775815,2.466044403,0.419488698,0.524921802,0.317540549,0.325269119,0.471387744,0.477322309,0.315094911,0.426226578,0.846698885,0.569984465,0.49214654,0.572904819
,0.25 quantile:,1.5,3,1,2,15,31,17,25,14.75,17,15,26,11.75,22.25,16,26,7,8,15.25,23,5,8,13,24,5,6,18,27,7,11,16.75,25.75,6.75,8,26,32.5,16,25
,median:,2,4,1.5,3,24,34,20,27,16,22,18,28,13.5,25,19,29,8,9,18,28,5,9,15,30,5,10,20,30,8,12,19,28,8,9,32,35,20,26.5
,0.75 quantile:,3,4,2,3,31.5,36,23,29,18,25,22,31,15.25,28,21,30,10,11,21,31,7,10,17,34,11.25,17.5,22,31,11,13,22,30,11,11,34,36,22,29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 Details of characteristics and measurements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instName:,network identifier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
isSolved:,1 if valid solution found before time limit; 0 if valid uprBd and lwrBd were found but solution process interrupted by time limit; -1 if (i) missing or invalid (usually because process failed to find a feasible integral first stage solutionor if (ii) lwrBd == -1 or if (iii) uprBd == -1; -99 if solution process crashed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
totTime:,total time at exit; -1 if invalid or missing; -99 if solution process crashed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uprBd:,upper bound; -1 if invalid; missing or smaller than lower bound produced by direct ILP solution; -99 if solution process crashed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lwrBd:,lower bound; -1 if invalid; missing or greater than upper bound produced by direct ILP solution; -99 if solution process crashed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relGap:,relative gap; -1 if invalid or missing; -99 if solution process crashed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nbAllNodes:,number of nodes generated; -1 if invalid or missing; -99 if solution process crashed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nbSubp:,number of cut generating subproblems examined; -1 if invalid or missing; -99 if solution process crashed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nbFeasCuts:,number of feasibility cuts genreated; -1 if invalid or missing; -99 if solution process crashed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nbOptCuts:,number of optimality cuts generated; -1 if invalid or missing; -99 if solution process crashed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nbPosFeasSubp:,number of feasible cut generating subproblems with positive value; -1 if invalid or missing; -99 if solution process crashed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nbNegFeasSubp:,number of feasible cut generating subproblems with negative value; -1 if invalid or missing; -99 if solution process crashed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nbNullFeasSubp:,number of feasible cut generating subproblems with null value; -1 if invalid or missing; -99 if solution process crashed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nbInfeasSp:,number of infeasible cut generating subproblems; -1 if invalid or missing; -99 if solution process crashed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nbPosUnbdSubp:,number of positively unbounded cut generating subproblems; -1 if invalid or missing; -99 if solution process crashed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nbNegUnbdSubp:,number of negatively unbounded cut generating subproblems; -1 if invalid or missing; -99 if solution process crashed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
totTimeSubp:,sum of times spent in cut generating subproblems; -1 if invalid or missing; -99 if solution process crashed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
totTimeSqrSubp:,sum of squared times spent in cut generating subproblems; -1 if invalid or missing; -99 if solution process crashed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maxRssMem:,maximum resident memory size; -1 if invalid or missing; -99 if solution process crashed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maxVmsMem:,maximum virtual memory size; -1 if invalid or missing; -99 if solution process crashed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 Details of methods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.1 Hyperparameters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRB:,use of Gurobi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPX:,use of CPLEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCP:,use of SCIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T:,relative gap tolerance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F:,inclusion of strong constraints (in a Benders method),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U:,no inversion between normalization and objective (Fisch and statBS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G:,relative gap required from Fisch in initial step of adaptBS or Glomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M:,number of feasible integer solutions required from Fisch in initial step of adaptBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E:,computation procedure of reference point in Seo (2: relaxed solution once initially; 4: relaxed solution at every callback),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R:,metric involved in HT (0: L_inf; 1: L_1; 2: upper bound on L_1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P:,common value of all elements in initial reference point in MW and Papa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L:,mixing weight applied when updating reference point in MW and Papa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H:,mixing weight applied when updating reference point in Glomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A:,also add a standard optimality cut whenever a MW optimality cut is added,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.2 Algorithmic families,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ILP_flow:,brute force ILP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ILP_flow_strong:,brute force ILP with inclusion of strong constraints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Std:,standard Benders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Std_Decomp:,Benders with flow decomposition of subproblems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fisch:,Fischetti et al.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StatBS:,static Brandenberg-Stursberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AdaptBS:,adaptive Brandenberg-Stursberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seo:,Seo et al.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HT:,Hosseini-Turner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW:,Magnanti-Wong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papa:,Papadakos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glomb:,Glomb et al.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
