(copy of rankings_GRB_all_Std_cautious_Papa_rev_algo_CPX_all_completed_30June2026-23h05_restricted.csv),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benders methods are compared based on their rankings with respect to several measures of performance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of networks:,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of methods:,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methods (see legend below): ,,GRB_T-0.0001_ILP_flow,CPX_T-0.0001_ILP_flow,GRB_T-0.0001_ILP_flow_strong,CPX_T-0.0001_ILP_flow_strong,GRB_F_T-0.0001_Std_Decomp,CPX_F_T-0.0001_Std_Decomp,GRB_T-0.0001_Fisch,CPX_T-0.0001_Fisch,GRB_F_T-0.0001_Fisch,CPX_F_T-0.0001_Fisch,GRB_U_T-0.0001_Fisch,CPX_U_T-0.0001_Fisch,GRB_F_U_T-0.0001_Fisch,CPX_F_U_T-0.0001_Fisch,GRB_T-0.0001_StatBS,CPX_T-0.0001_StatBS,GRB_F_T-0.0001_StatBS,CPX_F_T-0.0001_StatBS,GRB_U_T-0.0001_StatBS,CPX_U_T-0.0001_StatBS,GRB_F_U_T-0.0001_StatBS,CPX_F_U_T-0.0001_StatBS,GRB_F_M-1_T-0.0001_AdaptBS,CPX_F_M-1_T-0.0001_AdaptBS,GRB_F_E-2_T-0.0001_Seo,CPX_F_E-2_T-0.0001_Seo,GRB_R-1_T-0.0001_HT,CPX_R-1_T-0.0001_HT,GRB_F_R-1_T-0.0001_HT,CPX_F_R-1_T-0.0001_HT,GRB_R-2_T-0.0001_HT,CPX_R-2_T-0.0001_HT,GRB_F_R-2_T-0.0001_HT,CPX_F_R-2_T-0.0001_HT,GRB_F_P-1.0_L-0.5_A_T-0.0001_MW,CPX_F_P-1.0_L-0.5_A_T-0.0001_MW,GRB_H-0.5_G-0.1_M-1_T-0.0001_Glomb,CPX_H-0.5_G-0.1_M-1_T-0.0001_Glomb
,std error of mean:,0.234467296,0.191811079,0.247139343,0.182535902,0.970766018,0.64181505,0.577020568,0.578774087,0.495681453,0.53169114,0.629771118,0.499506009,0.405595679,0.454503283,0.666236109,0.636922396,0.351138083,0.872257416,0.63115119,0.566613,0.310532738,0.738648579,0.746042753,0.879345422,2.927317074,2.037836543,0.739752324,0.65241757,0.305884838,0.853900756,0.676391154,0.651949835,0.374406331,0.992371062,0.905061183,0.675102016,0.633172906,0.551798676
,0.25 quantile:,2,1.5,1.25,1.25,11,28,13,23,9.5,22,12,23,8,19,10.25,22,6,10,11,22,5,10,9,20,7.5,23.5,10,22.625,5.125,11,11,23.75,6,10.75,12,27.375,12,25
,median:,3,3,2,2,18,31,16,26,12,24,16,26,10,22,15,25.25,7,13.5,15,26,6.5,14,14,27,9,26,15,26,7,17,15,26,7,15,18,31,15.5,27.5
,0.75 quantile:,4,4,3.5,3,23,33.5,19,29.25,15,26.5,19,29,14,24,18,29.25,8.5,19.25,19.5,28.75,8,19,16,32,22,27.75,19,30.75,8,21.75,19,29.5,9,22,23,34,18,30
Rank of number of subproblems:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mean:,,,15.55072464,20.61904762,17.19491525,19.70535714,11.21641791,17.63114754,16.73913043,14.88235294,9.480263158,11.04794521,15.85714286,20.94166667,3.479452055,10.37323944,16.64084507,16.51428571,3.819767442,5.052325581,12.84931507,19.12686567,14.15384615,28.41666667,16.40769231,21.4516129,3.797297297,10.72857143,15.87096774,21.66101695,4.028169014,12.48507463,18.71969697,24.7,14.76712329,22.25714286,,
,std error of mean:,,,,,0.79645197,0.89303979,0.799940474,0.811447197,0.648285767,0.903418635,0.715126618,0.66690144,0.568341916,0.499686934,0.929109095,0.805975226,0.296732433,0.925766747,0.825488085,0.837755226,0.343556227,0.36826052,0.845144696,0.954952345,2.335337371,2.991693748,0.889644055,0.83183517,0.408090088,0.891953012,0.858553666,0.868008505,0.454635945,1.081495985,0.832859975,0.781576043,0.732209541,0.710830418
,0.25 quantile:,,,,,11,15.25,12,16,7.25,14,13,11,6,8,10,17,1.5,4.75,12,10.5,1.125,3,7,11.5,9,26.75,11,18,2,5,10.25,17,1.75,6,14,20.5,11.5,18.25
,median:,,,,,14,22,17.5,19.25,11,17,16,15,9,11,17,22,3,7,17,16,3,4.5,11,19,9,32,17,23.5,3,8,16.75,23,3,8,18.5,26.5,15,23
,0.75 quantile:,,,,,20,26.5,21.75,24.25,13.25,22,21,19,12,14,20,25.25,4.5,15,21,22,5,6,17,25.5,19,33.5,21,26,5,15,21,27,5,20.25,25,30,20,26.75
Rank of number of feasibility cuts:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mean:,,,,,25.37681159,26.53174603,19.94915254,15.39285714,18,14.72131148,20.24637681,14.01470588,17.68421053,13.81506849,16.03174603,10.84166667,5.342465753,5.14084507,16.1971831,9.942857143,6.156976744,4.377906977,17.86986301,12.7761194,15.38461538,28.75,16.76923077,10.20967742,6.074324324,5.092857143,16.18548387,10.75423729,5.746478873,6.208955224,25.72727273,26.825,21.08219178,18.45714286
,std error of mean:,,,,,0.796996422,0.59315753,0.734672441,0.703230778,0.690207739,0.614538169,0.578587971,0.653293045,0.613773276,0.64757779,0.869826281,0.653143219,0.444718038,0.487310011,0.760920552,0.656641335,0.45862193,0.329291162,0.780342763,0.858194911,2.492090355,2.229069313,0.84174213,0.658486225,0.48193085,0.374478257,0.786960746,0.590839396,0.54575177,0.417263526,0.626381102,0.583431539,0.725123093,0.592964092
,0.25 quantile:,,,,,22,25,15.75,11,14,11.5,18,10.25,15,10.5,10.25,7.75,2,2.5,10.25,6.125,3,2,12,6,9,26.5,10.5,6.5,3,3,12.125,8,2,4,24,25,18,15.625
,median:,,,,,27,28,21,15.5,18.5,15,20,14.25,18.25,14,15.5,10.25,4,4,16,9.75,5,4,19,14.5,14,30,19,9.5,5,4.75,16.25,10.5,4.5,6,27,28,22,19
,0.75 quantile:,,,,,30,29.25,24,20,22.5,18,23.5,17.625,22,18,23,14,7,6.5,22,13,8.875,6,23.5,18.5,24.5,33.5,23,13.75,9.375,7,20.875,13,7.75,8,29,30,26,22
Rank of number of optimality cuts:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
